,PRODUCT URL,NAME,PRICE,RATING,REVIEWS,DESCRIPTION,ASIN,MANUFACTURER
10,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxODUwNjUxMDQwNzIwMjc5OjE2Nzk0MTIzNTI6c3BfbXRmOjIwMTIxOTcyMjYwNDk4OjowOjo&url=%2FEUME-Propine-Massager-Backpack-Charging%2Fdp%2FB07XG935R9%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679412352%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DAPBFC7AMQ4Q38,"EUME Propine Laptop Backpack | Built-in Massager, Water Resistant & Anti-Theft | Fits Up-to 15.6"" MacBook (Melange, 22L)",,4.1 out of 5 stars,45 ratings,"  EUME's Made in India Massager Backpack, made of High Quality Nylon Fabric. The inside has Polyester Lining 190. This product comes under the Bag/ Backpack/ Laptop Bag/ Laptop Backpack/Massager Backpack/ Massager Bag category. Find it in 6 colours - Black, Melange, Black Gold, Grey, Red, Teal Blue    Capacity: 22 Litres ; Weight: 1.3 kgs; Dimensions: Centimeters: 33.02 x 16.5 x 49.5, Inches: 13 x 6.5 x 19.5; Main Compartment: 1; Front Pocket: 1; Side Pocket: 2 - to keep your 1 liter water bottle; Padded Internal Laptop Sleeve; Padded Shoulder Straps; Padded Back Panel    Maintenance: Wipe with a clean, dry cloth when needed. This bag is Water & Dust Resistant and has a Premium Quality Zipper and Metallic Zinc Pullers. It also comes with Chest and Waist Belts.    Other Specs: This bag has 2 Sets of massagers for maximum relaxation of the upper and lower back. It has an Internal Organization panel, a Top Carry Handle and a Heavy Duty Reversible Zipper and can be powered using a Power Bank (10000 mAh recommended); This bag has an adjustable torso and can be custom adjusted to different heights for perfect placement of the massagers on upper and lower backs. It fits most 15-inch laptops    Pocket Description: Utility Pocket; Compartment Description: Up To 14 Inches; Age Range Description: Adult; Warranty Description: 1 Year Warranty Against Manufacturing Defects; Style Name: Travel Backpacks; Pattern Name: Solid; Special Features: Laptop Compartment   ",B07XG935R9,"EUME, B-1 Nandkishore Industrial Estate off, Mahakali Caves Road, Andheri East, Mumbai-400093, Designed By EUME Lifetsyle Pvt Ltd, Bldg No.193, Indian Corporation, Dapode Road, Mankoli Naka, BHIWANDI MAHARASHTRA India 421302 Customer Care : 9321366003"
11,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxODUwNjUxMDQwNzIwMjc5OjE2Nzk0MTIzNTI6c3BfbXRmOjIwMTE0NDE0MjI5Njk4OjowOjo&url=%2FEUME-Virgo-29Ltr-Laptop-Backpack%2Fdp%2FB08R563J3T%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679412352%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,EUME Virgo 29L Laptop Backpack for Office & Travel | Water Resistance | Fit Up to 15.6-inch Laptop,,4.1 out of 5 stars,498 ratings,"  The Eume Virgo Bag has enough space with 3 large compartments, 2 easy-access pockets in Front, and 2 side pockets for a water bottle.    Large Compatment dedicated tech-safe that can store laptops up to 15.6 inch, Second Large Compartment for Books, Cloth & Sunglasses & Essentials etc. and Third compartment 2 Small pocket for Chargers and Earphones or Wallets , 2 Pen Holders & zipper compartment for Mobile Phone, Passport etc.    It's water-resistant, good quality zipper, Light Weight and it has padded adjustable shoulder straps and a trolley support strap for maximum comfort to make your travel journey happier.    Dimensions of Backpack: 12 x 8 x 17.75 inches; Bag Weight: 685 grams; Capacity: 29 liters; Fabric: Polyester    The Eume Virgo Backpack comes with a 1-year warranty against manufacturing defects.   ",B08R563J3T,Avon Lifestyle Pvt Ltd
12,https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1679412352&sprefix=ba%2Caps%2C283&sr=8-13,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),,4.3 out of 5 stars,"5,168 ratings","  Outer Material: Polyester, Color: Black    Water Resistance: Water resistant    Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2    Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,    Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks   ","Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",Gear Merchandise PVT LTD
13,https://www.amazon.in/Kuber-Industries-Handcrafted-Embroidered-Handbag/dp/B082VDVJGM/ref=sxin_25?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082VDVJGM&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082VDVJGM&pd_rd_r=78cf1778-66cc-43af-9570-06c63d9a3b69&pd_rd_w=sxDeO&pd_rd_wg=1rxhS&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=KTMVC69CF4B0KEC3AC9J&qid=1679412352&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,Kuber Industries Women's Handkerchief Set (Cream),,3.8 out of 5 stars,482 ratings,"  PACKAGE CONTAIN: 1 Piece Embroidered Party Wear Clutch    MATERIAL: Polyester, COLOR: Cream    PRODUCT DIMENSION: 27 X 17 X 1 CM    Latest stylish party wear evening clutches for women.Bag has a detachable gold polish shoulder chain.    This Clutch has a unique design and you can use it on any occasion like parties, anniversary, wedding, etc. This hand bag makes you glamorous and unique among your friends, familiar persons.   ",B082VDVJGM,0.14 Kilograms
14,https://www.amazon.in/Fiesto-Fashion-Womens-Handbag-FIESTO33_Blue/dp/B082Z33ZDS/ref=sxin_25?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082Z33ZDS&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082Z33ZDS&pd_rd_r=78cf1778-66cc-43af-9570-06c63d9a3b69&pd_rd_w=sxDeO&pd_rd_wg=1rxhS&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=KTMVC69CF4B0KEC3AC9J&qid=1679412352&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,Fiesto Fashion PU Leather Handbags With Sling Bag For Women Large Shoulder Tote Purse Top Handle Satchel (Combo Of 3),,3.9 out of 5 stars,"4,102 ratings","  Material: Leather</br>    Closure Type: Zip</br>    Strap Type: Shoulder Removable Strap; Adjustable</br>    Multi Compartments </br>    2 Big Zipper Pocket In The Middle, 1 Small Zipper Pocket For Your Key/Card </br>   ",B082Z33ZDS,Fiesto Fashion
15,https://www.amazon.in/ADISA-women-girls-black-embroided/dp/B08RWBP3H2/ref=sxin_25?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B08RWBP3H2&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B08RWBP3H2&pd_rd_r=78cf1778-66cc-43af-9570-06c63d9a3b69&pd_rd_w=sxDeO&pd_rd_wg=1rxhS&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=KTMVC69CF4B0KEC3AC9J&qid=1679412352&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,ADISA women girls embroided sling bag,,4.2 out of 5 stars,"1,428 ratings","  Material: PU / Synthetic Leather    Closure: Zipper    Compartment: 1, Pocket: 1    Dimensions: LxWxH - 7 x 3 x 7 inch    Ideal for Women and Girls   ",B08RWBP3H2,ADISA
16,https://www.amazon.in/Lapis-Lupo-Flower-Embroidery-Handbag/dp/B07RXYSJHF/ref=sxin_25?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B07RXYSJHF&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B07RXYSJHF&pd_rd_r=78cf1778-66cc-43af-9570-06c63d9a3b69&pd_rd_w=sxDeO&pd_rd_wg=1rxhS&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=KTMVC69CF4B0KEC3AC9J&qid=1679412352&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,Lapis O Lupo Women Vegan Leather Handbags Flower Embroidered Bags Fashion Satchel Bags Top Handle,,4.2 out of 5 stars,"3,630 ratings","  Inner Material: Polyester; Color: Grey; Package Contents: 1 Handbag    Dimensions: HandBag: HxLxD(CM)-27x33x13; Closure Type: Zip closure with adjustable strap    Pockets: 4 Compartment and 2 Zip Pocket    Easy to carry traveling essentials like mobile phone, keys, wallet, and other accessories.; Outer Material Type: Synthetic    Occasion Type: Casual   ",B07RXYSJHF,Coalescent India
17,https://www.amazon.in/Blue-Tree-Velvet-Spiderman-School/dp/B07HLYW3FF/ref=sxin_26_trfob_0_B07HLYW3FF?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07HLYW3FF&pd_rd_r=78cf1778-66cc-43af-9570-06c63d9a3b69&pd_rd_w=h33Ud&pd_rd_wg=1rxhS&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=KTMVC69CF4B0KEC3AC9J&qid=1679412352&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-cc7a04fe-cc55-42ad-b883-1b910070c86a,Blue Tree 10 Ltrs ( Cms)Backpack(Bluetree_Backpacks_034_Multi Colour),,4.0 out of 5 stars,"1,058 ratings","  Non-Toxic And Soft Fabric good quality and Washable; Soft And Cuddly Filling, Made By India And Printed Bag     Very Attractive To Make You Have A Good Feeling All The Time,; Gift this soft, smooth and cuddly teddy as a great gift to your loved one     Soft Toy School Bag For Kids, Travelling Bag, Carry Bag, Picnic Bag, Teddy Bag; Color Name: Multi Colour     Strap Type: Shoulder Strap; Water Resistance Level: Water Resistant     Material Type: Velvet    ",Blue Tree,23 September 2018
18,https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB42QFQ/ref=sxin_26_trfob_1_B09SB42QFQ?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB42QFQ&pd_rd_r=78cf1778-66cc-43af-9570-06c63d9a3b69&pd_rd_w=h33Ud&pd_rd_wg=1rxhS&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=KTMVC69CF4B0KEC3AC9J&qid=1679412352&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-cc7a04fe-cc55-42ad-b883-1b910070c86a,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",,4.2 out of 5 stars,50 ratings,"  MULTIPLE USAGE: Drawstring plastic bag is designed in a way to be useful for many functions. Use it as drawstring shoe bag, clear gift bags for favors, traveling. Pack everything in clear plastic bags (packing toys, stationery, shoes, clothes, cosmetics) and keep it safely and comfortably!    PLASTIC TRAVEL BAGS: Travel shoe bags for packing are unprinted and feature impressive durability, so you can use clear drawstring bag as main means of storing for personal and business purposes.    HIGH QUALITY MATERIAL- The PE storage bags are made of high quality Chlorinated Polyethylene (CPE) sheet which is famed for its good features . the translucent feature helps us to easily view what is inside the bag    KEY FEATURES- Package Includes 2 Pcs Travel Plastic Bags , the quality drawstring plastic bags have flat edges with a 16"" height and 11"" width plus an extra 2"" bottom gusset.it has 2 cotton strings to pull and secure the bag and the contents.    CONVENIENT TO USE- Each drawstring bag comes with two flat satin drawstrings on both ends, making the bags open or close conveniently,and you can also be easy to carry your items in them with the strings.   ",Draw String Bag 30x40 set of 5,B09SB42QFQ
19,https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3/ref=sxin_26_trfob_2_B08WWG91Q3?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWG91Q3&pd_rd_r=78cf1778-66cc-43af-9570-06c63d9a3b69&pd_rd_w=h33Ud&pd_rd_wg=1rxhS&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=KTMVC69CF4B0KEC3AC9J&qid=1679412352&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-cc7a04fe-cc55-42ad-b883-1b910070c86a,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2),,4.0 out of 5 stars,4 ratings,"  DIMENSION: 15 X 3.5 X 12 Inches / 38 X 8 X 30 Cm (WxLxH) | Weight: 0.32 Kg/ 0.7 Lb | Front Pocket: 12 X 9 Inch / 30 X 23 Cm (WxH) | Soft Adjustable & Breathable Shoulder Straps: 8-20.8 Inch / 20-53 Cm.    DESIGN: Made Of Super Soft Plush Material And High Quality Smooth Zipper Accessories. Small Backpack Suitable For Toddler Baby Kids Girl And Boy Between 1-6 Years Old.    PRODUCT MATERIAL: Made With High Quality Non-Toxic Soft Plush Material. Lightweight But Tear Resistant For Little Kids To Carry, Easy To Clean, Strong & Durable. It Has Sturdy, Non-Slip, And Comfortable Top Loop Handle As Well As Adjustable Straps At Its Back. Very Safe, Practical And Comfortable For Kids.    USAGE: This Kids Backpack Bag Is Perfect For School Bag, Travelling Bag, Carry Bag, Picnic Bag, Teddy Bag. Enough Space For Children's Stuffs Like Toys, Foods, Napkin, Fruits, Small Books, Pencils And Other Daily Items.    GREAT GIFT: Cute And Cool Animal Toddler School Backpacks, Great Gift For Kids With Lovely Animal Attractive Design, Perfect For Children Going Out For Travel, Preschool And Daycare Center.   ",B08WWG91Q3,Blue Tree
